Kingdom,Phylum,Sub-Phylum,Class,Sub-Class,Infra-Class,Super-Order,Order,Sub-Order,Super-Family,Family,Sub-Family,Genus,Species,Common Name
Animalia,Porifera,-,Calcarea,-,,,Leucosolenida,-,,Leucosoleniidae,-,Leucosolenia,-,White tubular sponge
,,-,,-,,,,-,,Sycettidae,-,Sycon,-,Scypha sponge
,,-,,-,,,,-,,Grantiidae,-,Grantia,-,Grant’s sponge
,,-,Hexactinellida,-,,,Amphidiscosida,-,,Hyalonematidae,-,Hyalonema,-,Glass rope sponge
,,-,,-,,,Lyssacinosida,-,,Euplectellidae,-,Euplectella,-,Venus’ flower basket
,,-,Demospongiae,-,,,Spongillida,-,,Spongillidae,-,Spongilla,-,Freshwater sponge
,,-,,-,,,Haplosclerida,-,,Chalinidae,-,Chalina,-,Finger sponge
,,-,,-,,,Dictyoceratida,-,,Spongiidae,-,Euspongia,-,Bath sponge
,,-,,-,,,Clionaida,-,,Clionaidae,-,Cliona,-,Boring sponge
,,-,,-,,,Haplosclerida,-,,Petrosiidae,-,Xestospongia,-,Giant barrel sponge
,Cnidaria,-,Hydrozoa,-,,,Anthoathecata,-,,Hydridae,-,Hydra,-,Freshwater polyp
,,-,,-,,,Leptothecata,-,,Campanulariidae,-,Obelia,-,Sea fur / Sea moss
,,-,,-,,,Siphonophorae,-,,Physaliidae,-,Physalia,-,Portuguese man-of-war
,,-,Scyphozoa,-,,,Semaeostomeae,-,,Ulmaridae,-,Aurelia,-,Moon jelly / Jellyfish
,,-,Anthozoa,-,,,Actiniaria,-,,Hormathiidae,-,Adamsia,-,Sea anemone
,,-,,-,,,,-,,Metridiidae,-,Metridium,-,Plumose anemone
,,-,,-,,,Pennatulacea,-,,Pennatulidae,-,Pennatula,-,Sea pen
,,-,,-,,,Alcyonacea,-,,Gorgoniidae,-,Gorgonia,-,Sea fan
,,-,,-,,,,-,,Coralliidae,-,Corallium,-,Red coral
,,-,,-,,,Antipatharia,-,,Antipathidae,-,Antipatharia,-,Black corals
,,-,,-,,,Scleractinia,-,,Meandrinidae,-,Meandrina,-,Brain coral
,Ctenophora,-,Tentaculata,-,,,Cydippida,-,,Coeloplanidae,-,Ctenoplana,-,Creeping comb jelly
,,-,,-,,,,-,,Pleurobrachiidae,-,Pleurobrachia,-,Sea gooseberry
,,-,,-,,,,-,,Hormiphoridae,-,Hormiphora,-,Comb jelly
,,-,,-,,,Cestida,-,,Cestidae,-,Cestum,-,Venus’ girdle
,,-,Nuda,-,,,Beroida,-,,Beroidae,-,Beroe,-,Comb jelly (Beroe)
,Platyhelminthes,-,Turbellaria,Rhabditophora,,,Tricladida,-,,Dugesiidae,-,Dugesia,-,Planarian
,,-,Trematoda,Digenea,,,Plagiorchiida,-,,Fasciolidae,-,Fasciola,Fasciola hepatica,Liver fluke
,,-,,,,,Diplostomida,-,,Schistosomatidae,-,Schistosoma,-,Blood fluke
,,-,Cestoda,Eucestoda,,,Cyclophyllidea,-,,Taeniidae,-,Taenia,Taenia saginata,Beef tapeworm
,,-,,,,,,-,,,-,,Taenia solium,Pork tapeworm
,,-,,,,,,-,,,-,Echinococcus,-,Dog tapeworm
,Nematoda,-,Chromadorea,-,,,Ascaridida,-,,Ascarididae,-,Ascaris,Ascaris lumbricoides,Giant intestinal roundworm
,,-,,-,,,Oxyurida,-,,Oxyuridae,-,Enterobius,Enterobius vermicularis,Pinworm
,,-,,-,,,Strongylida,-,,Ancylostomatidae,-,Ancylostoma,Ancylostoma duodenale,Old World hookworm
,,-,,-,,,Spirurida,-,,Onchocercidae,-,Wuchereria,Wuchereria bancrofti,Filarial worm
,,-,,-,,,,-,,,-,Loa,Loa loa,Eye worm
,,-,Enoplea,-,,,Trichocephalida,-,,Trichuridae,-,Trichuris,Trichuris trichiura,Whipworm
,,-,,-,,,Trichinellida,-,,Trichinellidae,-,Trichinella,Trichinella spiralis,Trichina worm
,,-,Chromadorea,-,,,Spirurida,-,,Dracunculidae,-,Dracunculus,Dracunculus medinensis,Guinea worm
,Annelida,-,Polychaeta,-,,,Sedentaria,-,,Chaetopteridae,-,Chaetopterus,-,Parchment tube worm
,,-,,-,,,Capitellida,-,,Arenicolidae,-,Arenicola,-,Lugworm
,,-,,-,,,Phyllodocida,-,,Nereididae,-,Nereis,-,Ragworm
,,-,,-,,,,-,,Aphroditidae,-,Aphrodita,-,Sea mouse
,,-,Clitellata,-,,,Tubificida,-,,Tubificidae,-,Tubifex,-,Sludge worm
,,-,,-,,,Haplotaxida,-,,Megascolecidae,-,Lampito,Lampito mauritii,Indian earthworm
,,-,,-,,,,-,,Eudrilidae,-,Eudrilus,Eudrilus eugeniae,African night crawler
,,-,,-,,,,-,,Megascolecidae,-,Perionyx,Perionyx excavatus,Indian blue worm
,,-,,-,,,,-,,,-,Octochaetona,Octochaetona thurstoni,Tamil Nadu earthworm / blue-grey epigeic earthworm
,,-,,-,,,,-,,,-,Pheretima,Pheretima posthuma,Earthworm
,,-,,-,,,,-,,,-,Megascolex,-,Giant earthworm
,,-,,-,,,,-,,Lumbricidae,-,Lumbricus,-,Common earthworm
,,-,,-,,,Arhynchobdellida,-,,Hirudinidae,-,Hirudinaria,Hirudinaria granulosa,Indian cattle leech
,,-,,-,,,,-,,,-,Hirudo,-,Medicinal leech
,Onychophora,-,Udeonychophora,,,,Euonychophora,,,Peripatidae,,Peripatus,-,Velvet worm
,Arthropoda,Chelicerata,Merostomata,,,,Xiphosurida,,,Limulidae,,Limulus,-,Horseshoe crab
,,,Arachnida,,,,Scorpiones,,,Buthidae,,Buthus,-,Scorpion
,,,,,,,,,,Scorpionidae,,Palamneus,-,Black scorpion
,,,,,,,Araneae,,,Araneidae,,Aranaeus,-,Garden spider
,,Myriapoda,Chilopoda,,,,Scolopendromorpha,,,Scolopendridae,,Scolopendra,Scolopendra hardwickei,Centipede
,,,Diplopoda,,,,Spirostreptida,,,Spirostreptidae,,Archispirostreptus,Archispirostreptus gigas,Giant African millipede
,,Crustacea,Copepoda,,,,Cyclopoida,,,Cyclopidae,,Cyclops,-,Cyclops
,,,Branchiopoda,,,,Cladocera,,,Daphniidae,,Daphnia,-,Water flea
,,,Malacostraca,,,,Decapoda,,,Luciferidae,,Lucifer,-,Ghost shrimp
,,,,,,,,,,Palaemonidae,,Palaemon,-,Freshwater prawn
,,,,,,,,,,,,Macrobrachium,-,Giant freshwater prawn
,,,,,,,,,,Astacidae,,Astacus,-,Crayfish
,,,,,,,,,,Palinuridae,,Palinurus,-,Spiny lobster
,,,,,,,,,,Paguridae,,Eupagurus,-,Hermit crab
,,,,,,,,,,Cancridae,,Cancer,-,Edible crab
,,Hexapoda,Insecta,,,,Zygentoma,,,Lepismatidae,,Lepisma,Lepisma saccharina,Silverfish
,,,,,,,Blattodea,,,Blattidae,,Periplaneta,Periplaneta americana,Cockroach
,,,,,,,Orthoptera,,,Acrididae,,Locusta,-,Locust
